SampleID,AccX_ms2,AccY_ms2,AccZ_ms2,GyroX_dps,GyroY_dps,GyroZ_dps,MagX,MagY,MagZ
16944,12.47,2.23,-4.48,84.6,1.5,-115.9,191,-132,-1128
16945,11.34,1.48,-4.78,75.5,9.9,-113.6,230,-150,-1106
16946,9.96,0.95,-4.06,62.9,27.4,-108.8,270,-160,-1106
16947,8.55,0.50,-2.74,55.0,40.6,-101.0,300,-175,-1071
16948,7.08,0.05,-1.83,52.9,45.2,-93.6,315,-172,-1058
16949,6.26,-0.35,-1.29,56.1,42.7,-87.7,353,-167,-1056
16950,5.92,-0.64,-1.09,63.6,32.6,-85.7,373,-165,-1030
16951,6.23,-0.99,-1.41,70.7,18.8,-86.9,393,-172,-1030
16952,6.88,-1.23,-1.86,73.8,7.4,-92.1,418,-195,-1017
16953,7.40,-1.49,-2.57,68.4,2.7,-93.8,426,-217,-992
16954,7.56,-1.86,-3.00,54.9,8.3,-89.6,462,-227,-971
16955,7.99,-2.16,-2.78,37.1,16.3,-81.6,480,-240,-963
16956,8.48,-2.47,-2.40,18.1,20.4,-72.2,485,-242,-938
16957,8.62,-2.49,-2.27,0.4,19.7,-62.2,507,-255,-928
16958,9.00,-2.38,-2.26,-11.3,11.5,-49.7,530,-252,-911
16959,9.72,-2.19,-2.47,-18.1,0.2,-36.8,541,-245,-898
16960,10.55,-2.05,-2.85,-23.3,-5.2,-26.0,571,-237,-877
16961,11.41,-1.87,-3.04,-28.0,0.0,-15.7,563,-235,-867
16962,11.77,-1.90,-3.33,-33.2,17.1,-6.8,591,-232,-862
16963,12.72,-1.15,-3.27,-31.3,28.7,2.4,603,-207,-865
16964,13.98,-0.36,-3.01,-20.7,23.3,8.0,606,-187,-855
16965,14.46,-0.32,-2.96,-13.3,17.5,10.4,598,-172,-852
16966,14.65,-0.23,-2.97,-15.8,17.7,16.0,601,-160,-860
16967,15.43,0.26,-2.60,-22.8,6.5,35.9,598,-157,-867
16968,15.75,0.80,-2.70,-29.5,-20.2,71.3,593,-145,-882
16969,15.32,1.05,-3.19,-36.2,-41.3,108.0,571,-137,-893
16970,13.93,1.64,-2.96,-50.8,-52.6,147.9,497,-122,-953
16971,13.18,1.89,-2.35,-54.1,-48.7,151.0,450,-150,-1000
16972,11.87,1.74,-2.18,-57.3,-30.1,150.0,413,-135,-1012
16973,10.58,1.35,-2.03,-59.4,-7.3,142.7,351,-130,-1052
16974,9.12,1.00,-1.72,-58.9,8.1,133.2,333,-115,-1073
16975,7.48,0.69,-1.61,-57.6,15.4,126.6,287,-82,-1091
16976,6.63,0.62,-1.10,-56.9,13.8,125.0,232,-67,-1116
16977,5.97,0.67,-0.88,-56.8,4.5,127.1,196,-50,-1133
16978,5.94,0.95,-0.60,-56.5,-11.8,130.6,143,-40,-1142
16979,6.26,1.32,-0.88,-54.5,-31.7,135.6,102,-47,-1150
16980,6.61,1.51,-1.40,-52.3,-47.6,132.8,52,-25,-1165
16981,7.34,1.73,-1.90,-52.1,-55.5,118.1,20,-65,-1177
16982,7.81,1.95,-2.43,-53.8,-51.6,96.5,-30,-90,-1190
16983,8.44,2.35,-2.60,-54.6,-38.6,76.4,-67,-115,-1200
16984,8.82,2.59,-2.65,-51.8,-23.3,55.2,-75,-115,-1207
16985,9.43,2.75,-2.56,-45.0,-15.2,30.3,-92,-137,-1202
16986,9.49,2.82,-2.58,-35.2,-13.0,8.5,-85,-130,-1200
16987,9.56,2.96,-2.79,-22.0,-11.8,-6.5,-75,-145,-1195
16988,9.51,2.78,-3.33,-5.4,-10.0,-21.1,-62,-135,-1207
16989,10.31,3.10,-3.48,17.9,-14.8,-39.2,-45,-150,-1218
16990,11.42,3.39,-3.17,45.2,-21.9,-61.8,-47,-155,-1192
16991,12.07,3.32,-3.35,66.5,-13.7,-89.2,-20,-187,-1185
16992,12.52,2.92,-3.74,75.9,8.9,-119.6,0,-180,-1172
16993,12.44,2.33,-3.98,76.2,32.6,-143.5,45,-195,-1165
16994,12.37,2.12,-3.64,72.9,43.4,-149.6,90,-202,-1145
16995,12.37,1.93,-3.12,71.0,36.9,-142.1,146,-190,-1133
16996,12.14,1.55,-3.03,68.9,19.6,-130.9,178,-185,-1108
16997,11.58,1.25,-3.18,64.0,6.2,-116.3,217,-205,-1103
16998,10.50,0.86,-3.19,57.6,4.8,-102.4,257,-215,-1088
16999,9.33,0.40,-2.71,51.5,10.1,-94.7,272,-225,-1068
17000,8.12,0.07,-2.09,49.1,19.0,-91.2,300,-230,-1047
17001,7.44,-0.20,-1.61,50.8,28.3,-91.7,326,-237,-1037
17002,6.85,-0.44,-1.49,55.5,35.7,-95.2,351,-265,-1027
17003,6.52,-0.72,-1.61,62.0,39.4,-102.0,361,-247,-1012
17004,6.48,-1.18,-1.74,66.2,40.0,-107.4,393,-255,-995
17005,7.14,-1.46,-1.75,68.0,35.4,-107.9,416,-247,-975
17006,7.73,-1.78,-1.88,65.2,27.3,-103.9,423,-275,-977
17007,8.50,-1.96,-2.02,56.4,22.2,-96.6,450,-285,-963
17008,8.73,-2.30,-2.33,43.0,21.6,-88.4,475,-300,-928
17009,8.78,-2.57,-2.54,27.2,24.7,-78.4,500,-300,-921
17010,9.14,-2.79,-2.50,13.1,25.3,-66.8,512,-307,-893
17011,9.87,-2.58,-2.50,2.7,17.7,-57.1,537,-305,-880
17012,10.65,-2.36,-2.57,-4.9,6.0,-45.2,548,-302,-870
17013,11.16,-2.16,-2.74,-11.5,-4.2,-29.9,573,-312,-862
17014,11.43,-2.26,-3.07,-16.4,-8.7,-13.7,576,-307,-855
17015,11.57,-2.20,-3.45,-19.5,-0.7,-1.4,591,-305,-845
17016,12.19,-1.57,-3.52,-16.6,9.4,7.1,573,-300,-842
17017,13.44,-0.99,-3.17,-5.7,2.8,10.9,598,-285,-832
17018,14.20,-0.86,-3.37,2.5,-8.3,11.3,596,-297,-852
17019,14.84,-0.69,-4.04,-14.6,3.5,40.4,568,-297,-860
17020,14.78,-0.06,-2.32,-30.3,-17.7,22.0,628,-312,-832
17021,15.62,0.50,-2.50,-37.6,-23.4,45.4,636,-300,-832
17022,15.46,0.83,-3.38,-48.0,-27.1,77.8,626,-295,-842
17023,14.76,0.87,-3.94,-61.1,-24.0,104.0,618,-280,-872
17024,14.18,1.25,-3.38,-73.6,-23.8,121.7,601,-257,-893
17025,13.10,1.70,-2.55,-81.0,-30.6,138.5,561,-230,-926
17026,11.26,1.43,-2.15,-84.5,-35.1,154.1,520,-217,-963
17027,9.75,1.09,-1.65,-85.3,-35.7,161.1,485,-192,-990
17028,8.50,0.86,-1.29,-83.2,-36.3,158.0,437,-187,-990
17029,7.79,0.66,-1.09,-78.8,-33.3,149.5,396,-170,-1040
17030,7.02,0.55,-0.84,-74.1,-30.5,140.6,358,-152,-1061
17031,7.05,0.70,-0.68,-68.9,-30.2,133.8,328,-155,-1096
17032,6.93,0.81,-0.93,-65.5,-31.6,129.5,275,-145,-1126
17033,6.90,0.94,-1.18,-64.7,-30.2,128.1,247,-145,-1131
17034,7.21,1.20,-1.38,-63.3,-27.3,125.8,196,-137,-1147
17035,7.57,1.42,-1.40,-59.1,-25.3,116.1,158,-147,-1152
17036,8.14,1.77,-1.42,-49.9,-27.7,100.2,116,-140,-1175
17037,8.90,2.11,-1.52,-38.2,-33.0,84.2,85,-152,-1190
17038,9.10,2.25,-1.93,-29.0,-32.7,69.7,65,-175,-1195
17039,9.55,2.66,-2.16,-21.7,-24.8,55.3,42,-160,-1207
17040,9.86,2.89,-2.52,-14.1,-13.4,36.8,32,-165,-1205
17041,10.14,3.01,-2.79,-5.8,-3.8,12.5,17,-177,-1202
17042,10.14,2.94,-3.09,1.5,5.4,-10.3,7,-182,-1207
17043,10.19,2.91,-3.45,7.6,16.9,-29.5,5,-177,-1202
17044,10.14,2.89,-3.83,13.4,28.0,-46.3,37,-172,-1207
17045,10.72,3.33,-3.37,26.7,27.7,-58.6,52,-160,-1197
17046,10.97,3.28,-2.73,42.5,21.0,-74.7,90,-160,-1182
